country_code,code,name,localName,type,parentCode,flagUrl,latLng,localNameSpelling,delete,notes,dateIssued
NP,NP-DH,,,,,,,,1,Deleting NP-DH subdivision,2022-11-29
NP,NP-GA,,,,,,,,1,Deleting NP-GA subdivision,2022-11-29
NP,NP-JA,,,,,,,,1,Deleting NP-JA subdivision,2022-11-29
NP,NP-KA,,,,,,,,1,Deleting NP-KA subdivision,2022-11-29
NP,NP-KO,,,,,,,,1,Deleting NP-KO subdivision,2022-11-29
NP,NP-LU,,,,,,,,1,Deleting NP-LU subdivision,2022-11-29
NP,NP-MA,,,,,,,,1,Deleting NP-MA subdivision,2022-11-29
NP,NP-ME,,,,,,,,1,Deleting NP-ME subdivision,2022-11-29
NP,NP-NA,,,,,,,,1,Deleting NP-NA subdivision,2022-11-29
NP,NP-RA,,,,,,,,1,Deleting NP-RA subdivision,2022-11-29
NP,NP-SA,,,,,,,,1,Deleting NP-SA subdivision,2022-11-29
NP,NP-SE,,,,,,,,1,Deleting NP-SE subdivision,2022-11-29
NZ,NZ-AUK,,Tāmaki-Makaurau,,,,,,,Updating NZ-AUK subdivision local name,2022-11-29
NZ,NZ-BOP,,Toi Moana,,,,,,,Updating NZ-BOP subdivision local name,2022-11-29
NZ,NZ-STL,,Te Taiao Tonga,,,,,,,Updating NZ-STL subdivision local name,2022-11-29
NZ,NZ-GIS,,Te Tairāwhiti,,,,,,,Updating NZ-GIS subdivision local name,2022-11-29
NZ,NZ-HKB,,Te Matau-a-Māui,,,,,,,Updating NZ-HKB subdivision local name,2022-11-29
NZ,NZ-NTL,,Te Tai tokerau,,,,,,,Updating NZ-NTL subdivision local name,2022-11-29
NZ,NZ-WTC,,	Te Tai o Poutini,,,,,,,Updating NZ-WTC subdivision name,2022-11-29
NZ,NZ-WGN,Greater Wellington,Te Pane Matua Taiao,,,,,,,Updating NZ-WGN subdivision name and local name,2022-11-29
NZ,NZ-MWT,Manawatū-Whanganui,Manawatū Whanganui,,,,,,,Updating NZ-WGN subdivision name and local name,2022-11-29
NZ,NZ-WKO,Waikato,,,,,,1,,Updating NZ-WKO subdivision name and local name,2022-11-29
NZ,NZ-TAS,,Te tai o Aorere,,,,,,,Updating NZ-TAS subdivision name,2022-11-29
PA,PA-NB,Ngäbe-Buglé,,,,,,1,,Changing PA-NB subdivision name,2022-11-29
PA,PA-NT,Naso Tjër Di,,Indigenous region,,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/PA/PA-NT.png,"[9.495, -82.613]",,,Adding PA-NT indigenous region,2022-11-29
SI,SI-044,Kanal ob Soči,,,,,,,,Updating SI-044 subdivision name,2022-11-29
SI,SI-197,Kostanjevica na Krki,,,,,,,,Updating SI-197 subdivision name,2022-11-29
SI,SI-011,,,Urban municipality,,,,,,Updating SI-011 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-050,,,Urban municipality,,,,,,Updating SI-050 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-052,,,Urban municipality,,,,,,Updating SI-052 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-054,,,Urban municipality,,,,,,Updating SI-054 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-061,,,Urban municipality,,,,,,Updating SI-061 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-070,,,Urban municipality,,,,,,Updating SI-070 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-080,,,Urban municipality,,,,,,Updating SI-080 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-084,,,Urban municipality,,,,,,Updating SI-084 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-085,,,Urban municipality,,,,,,Updating SI-085 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-096,,,Urban municipality,,,,,,Updating SI-096 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-112,,,Urban municipality,,,,,,Updating SI-112 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-133,,,Urban municipality,,,,,,Updating SI-133 subdivision type from municipality to urban municipality,2022-11-29
ID,ID-PD,Southwest Papua,Papua Barat Daya,Province,ID-PP,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/ID/ID-PD.svg,"[-0.887, 131.286]",,,Adding ID-PD province,2023-11-23
IN,IN-OR (IN-OD),,,,,,,,,Changing IN-OR subdivision code to IN-OD,2023-11-23
IN,IN-CT (IN-CG),,,,,,,,,Changing IN-CT subdivision code to IN-CG,2023-11-23
IN,IN-TG (IN-TS),,,,,,,,,Changing IN-TG subdivision code to IN-TS,2023-11-23
IN,IN-UT (IN-UK),,,,,,,,,Changing IN-UT subdivision code to IN-UK,2023-11-23
KR,KR-42,,,special self-governing province,,,,,,Changing KR-42 subdivision type from province to self governing province
ME,ME-25,Zeta,,Municipality,,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/ME/ME-25.svg,"[42.516, 19.171]",,,Adding ME-25 subdivision,2023-11-23
NP,NP-P1,Koshi,Koshī,,,,,,,Changing NP-P1 subdivision name,2023-11-23
PH,PH-MAG,,,,,,,,1,Deleting PH-MAG province,2023-11-23
PH,PH-MGN,Maguindanao del Norte,Hilagang Magindanaw,Region,PH-14,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/PH/PH-MGN.png,"[7.370, 124.336]",,,Adding PH-MGN subdivision,2023-11-23
PH,PH-MGS,Maguindanao del Sur,Timog Magindanaw,Region,PH-14,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/PH/PH-MGS.jpeg,"[6.715, 124.784]",,,Adding PH-MGS subdivision,2023-11-23
PL,PL-04,Kuyavia-Pomerania,Kujawsko-Pomorskie,,,,,,,Updating PL-04 subdivision name,2023-11-23
PL,PL-28,Warmia-Masuria,Warmińsko-Mazurskie,,,,,,,Updating PL-28 subdivision name,2023-11-23
